timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1561393782367,2662,HTTP Request,200,OK,yogitest 1-45,text,true,,8261,230,50,50,https://yoginth.com/,366,0,167
1561393782367,366,HTTP Request-0,301,Moved Permanently,yogitest 1-45,,true,,279,115,50,50,http://yoginth.com/,366,0,167
1561393782735,2294,HTTP Request-1,200,OK,yogitest 1-45,text,true,,7982,115,50,50,https://yoginth.com/,2275,0,1045
1561393782295,2767,HTTP Request,200,OK,yogitest 1-2,text,true,,8261,230,49,49,https://yoginth.com/,374,0,239
1561393782295,374,HTTP Request-0,301,Moved Permanently,yogitest 1-2,,true,,279,115,49,49,http://yoginth.com/,374,0,239
1561393782670,2392,HTTP Request-1,200,OK,yogitest 1-2,text,true,,7982,115,49,49,https://yoginth.com/,2360,0,1145
1561393782363,2733,HTTP Request,200,OK,yogitest 1-48,text,true,,8261,230,48,48,https://yoginth.com/,378,0,172
1561393782363,378,HTTP Request-0,301,Moved Permanently,yogitest 1-48,,true,,279,115,48,48,http://yoginth.com/,378,0,172
1561393782743,2353,HTTP Request-1,200,OK,yogitest 1-48,text,true,,7982,115,48,48,https://yoginth.com/,2318,0,1063
1561393782364,2787,HTTP Request,200,OK,yogitest 1-46,text,true,,8268,230,47,47,https://yoginth.com/,380,0,170
1561393782364,380,HTTP Request-0,301,Moved Permanently,yogitest 1-46,,true,,279,115,47,47,http://yoginth.com/,380,0,170
1561393782745,2406,HTTP Request-1,200,OK,yogitest 1-46,text,true,,7989,115,47,47,https://yoginth.com/,2360,0,1061
1561393782343,2888,HTTP Request,200,OK,yogitest 1-12,text,true,,8261,230,46,46,https://yoginth.com/,799,0,272
1561393782343,799,HTTP Request-0,301,Moved Permanently,yogitest 1-12,,true,,279,115,46,46,http://yoginth.com/,799,0,272
1561393783143,2088,HTTP Request-1,200,OK,yogitest 1-12,text,true,,7982,115,46,46,https://yoginth.com/,2035,0,1111
1561393782351,2940,HTTP Request,200,OK,yogitest 1-49,text,true,,8261,230,45,45,https://yoginth.com/,416,0,186
1561393782351,416,HTTP Request-0,301,Moved Permanently,yogitest 1-49,,true,,279,115,45,45,http://yoginth.com/,416,0,186
1561393782768,2523,HTTP Request-1,200,OK,yogitest 1-49,text,true,,7982,115,45,45,https://yoginth.com/,2479,0,1087
1561393782347,2969,HTTP Request,200,OK,yogitest 1-30,text,true,,8261,230,44,44,https://yoginth.com/,506,0,234
1561393782347,506,HTTP Request-0,301,Moved Permanently,yogitest 1-30,,true,,279,115,44,44,http://yoginth.com/,506,0,234
1561393782854,2462,HTTP Request-1,200,OK,yogitest 1-30,text,true,,7982,115,44,44,https://yoginth.com/,2443,0,1178
1561393782350,3003,HTTP Request,200,OK,yogitest 1-39,text,true,,8261,230,43,43,https://yoginth.com/,435,0,226
1561393782350,435,HTTP Request-0,301,Moved Permanently,yogitest 1-39,,true,,279,115,43,43,http://yoginth.com/,435,0,226
1561393782786,2567,HTTP Request-1,200,OK,yogitest 1-39,text,true,,7982,115,43,43,https://yoginth.com/,2545,0,1214
1561393782346,3072,HTTP Request,200,OK,yogitest 1-22,text,true,,8261,230,42,42,https://yoginth.com/,581,0,240
